Date,Open,High,Low,Close,Adj Close,Volume
2013-12-11,351.825012,355.875000,346.649994,347.437988,267.932434,530721
2013-12-12,346.500000,352.987000,343.875000,345.037994,266.081635,830581
2013-12-13,346.500000,348.674988,341.250000,341.962006,263.709564,708655
2013-12-16,342.750000,343.837006,337.649994,339.787994,262.033020,705283
2013-12-17,340.950012,346.125000,339.524994,343.575012,264.953461,427455
2013-12-18,342.750000,349.687988,341.325012,346.274994,267.035614,491585
2013-12-19,348.000000,351.975006,341.625000,343.763000,265.098480,279048
2013-12-20,349.500000,355.799988,345.750000,352.875000,272.125305,704967
2013-12-23,352.500000,359.924988,352.500000,358.388000,276.376709,311693
2013-12-24,357.750000,358.462006,352.649994,355.649994,274.265289,406639
2013-12-26,355.649994,360.750000,354.750000,357.562012,275.739716,203772
2013-12-27,359.212006,365.250000,357.299988,364.312012,280.945099,349507
2013-12-30,364.575012,368.625000,355.125000,363.299988,280.164642,277995
2013-12-31,363.037994,369.000000,356.325012,366.263000,282.449707,479332
2014-01-01,363.263000,368.250000,360.263000,362.362000,279.441315,207724
2014-01-02,362.287994,366.562012,344.325012,347.062012,267.642517,290705
2014-01-03,348.750000,356.250000,347.325012,353.513000,272.617340,221735
2014-01-06,353.962006,363.674988,349.500000,357.337006,275.566223,231311
2014-01-07,358.462006,359.024994,346.799988,348.600006,268.828522,248957
2014-01-08,351.299988,352.087006,346.500000,348.037994,268.395172,261467
2014-01-09,348.750000,352.500000,345.825012,349.837006,269.782532,355165
2014-01-10,348.750000,351.750000,346.875000,348.937988,269.089172,300589
2014-01-13,351.750000,362.812012,351.750000,361.687988,278.921570,505043
2014-01-14,360.600006,365.850006,355.799988,362.325012,279.412811,168425
2014-01-15,365.100006,365.100006,356.513000,359.962006,277.590576,518356
2014-01-16,359.962006,361.200012,355.500000,357.037994,275.335663,1116651
2014-01-17,354.787994,357.750000,348.750000,354.562012,273.426270,422956
2014-01-20,349.687988,360.299988,349.687988,356.100006,274.612305,704877
2014-01-21,357.000000,362.250000,356.437988,358.162994,276.203217,165152
2014-01-22,358.162994,362.850006,358.162994,359.362000,277.127838,524439
2014-01-23,359.737000,363.000000,357.000000,360.674988,278.140350,215101
2014-01-24,361.875000,361.875000,352.537994,353.362000,272.500854,222237
2014-01-27,352.500000,353.250000,338.250000,342.450012,264.085907,314453
2014-01-28,341.625000,348.299988,337.537994,338.812012,261.280365,521943
2014-01-29,342.000000,350.587006,339.825012,349.049988,269.175568,681901
2014-01-30,345.750000,347.737000,341.549988,345.674988,266.572906,286284
2014-01-31,345.750000,358.350006,345.750000,355.649994,274.265289,365001
2014-02-03,347.250000,348.000000,341.437988,344.924988,274.484131,378863
2014-02-04,341.250000,344.174988,333.862000,335.812012,267.232178,288660
2014-02-05,334.500000,340.125000,329.250000,330.225006,262.786163,346279
2014-02-06,328.500000,337.049988,328.500000,334.350006,266.068756,629680
2014-02-07,334.350006,339.000000,333.000000,337.274994,268.396393,156281
2014-02-10,336.524994,340.725006,334.725006,339.299988,270.007813,174788
2014-02-11,336.862000,343.950012,336.862000,342.299988,272.395203,290179
2014-02-12,344.212006,347.174988,339.000000,345.187988,274.693420,1685689
2014-02-13,347.138000,347.888000,336.750000,342.149994,272.275818,345771
2014-02-14,346.875000,347.399994,340.763000,342.787994,272.783478,690803
2014-02-17,344.587006,344.924988,334.612000,336.075012,267.441467,153175
2014-02-18,336.037994,340.500000,333.825012,335.437988,266.934509,171441
2014-02-19,337.500000,343.274994,336.000000,341.549988,271.798370,99889
2014-02-20,341.212006,341.212006,330.825012,332.888000,264.905365,145967
2014-02-21,335.924988,336.487000,332.212006,335.100006,266.665588,127721
2014-02-24,332.250000,337.125000,332.250000,334.725006,266.367188,108263
